"score","text","date","version"
5,"Mantap mypertamina dipakay ovo bisa mobil jadi lancar👍👍","2024-05-08T04:44:56.783Z",
5,"Okkey","2024-05-08T04:13:04.288Z",
1,"Aplikasi nya eror ga bs masukk","2024-05-08T03:07:40.983Z","4.3.2"
5,"Ok baik","2024-05-08T02:58:35.390Z","4.3.2"
5,"Ok","2024-05-08T02:44:25.958Z","4.3.2"
5,"Saya blm tau cara mendaftar barcode BBM subsidi solar","2024-05-08T02:39:13.300Z","4.3.2"
1,"data sdh di masukkan, sdh juga daftar, tapi ketika di cek/periksa, data tidak di temukan.... aplikasi apaan ini","2024-05-08T02:35:48.337Z",
1,"Pelayanan paling buruk terhadap konsumen attitude ga ada","2024-05-08T02:11:26.391Z","4.3.2"
1,"punya saya bio solar kok bisa terdaftar pertalite, jadinya harus ngecer tiap hari mana 8000 per liter","2024-05-08T00:56:07.750Z",
1,"Aplikasi aneh, ketika upload foto kendaraan selalu salah, sudah hampir 10 x mencoba..,. Benar2 aplikasi tidak berguna..menyusahkan saja Pusßing","2024-05-07T21:53:40.801Z","3.7.7"
1,"Kenapa informasi saya di aplikasi MyPertamina bisa bocor ke darkweb?? Siapa kah yang harus bertanggung jawab?","2024-05-07T16:13:41.100Z","2.0.0.1"
1,"Aplikasi ribet lha mbok yg simple, buka hrs pakai password sgl lihat barcode mau cetak muter"" banyak sulitnya gak ketemu. Di SPBU minta barcode di hp petugas sy suruh buka sendiri bingung yang ada hanya nopolnya. Ya tetep dilayani Piye jal... Setelah sampai rumah penasaran coba buka langsung pakai web digoogle subsiditepat.mypertamina malah cepat miski pakai otp namun barcode ada detail mobil ada semua. Lha sing simple wae pertanyaannya apa ini aplikasi dikelola pihak 3 ya?.","2024-05-07T16:09:44.941Z","4.3.0"
5,"Mantab","2024-05-07T13:15:39.779Z","4.3.2"
5,"Pengoperasian mudah.walau awal nya susah.permudah dalam antrian pertalite","2024-05-07T12:49:18.828Z","4.3.2"
1,"Bapuk, kesalahan mulu, ga bisa menghilangkan ke e-money","2024-05-07T12:26:55.251Z","4.3.2"
1,"aplikasi belum layak dipakai...buat susah","2024-05-07T11:56:52.407Z",
1,"Prosedur kalian merepotkan masyarakat. Jangan terlalu pikirkan kemajuan teknologi, tapi pertimbangkan kesenjangan dulu","2024-05-07T11:47:41.594Z",
4,"Awalnya saya kasih bintang 1, krn: Semua pertanyaan yg jawab adalah robot (via Aplikasi my pertamina,Via Instahram, Via WA, Via email pcc135). Setelah email kembali dgn subject PTM-20240129, barulah yg jawab petugas manusia (bukan mesin auto chat/auto email). Dan setelah 3 kali penolakan dgn alasan foto bpkb salah halaman, foto mobil belum tampak samping kelihatan jumlah roda dan nopol jelas. Barulah persetujuan didapat. Saya beri bintang 4 karena setiap pengajuan Banding diproses cepet 2hari","2024-05-07T11:40:54.700Z","4.3.2"
2,"Mau masukan metode pembayaran debit Mandiri. Malah di bilang tidak terdeteksi.padahal sudah benar masukan dan masa aktifnya sampe 2029. gimana sih aplikasinya ini.kalo aplikasi belum 100%ready jgn lah di publikasi dulu.jd menyusahkan.bukannya memudahkan ini","2024-05-07T11:34:13.860Z","4.3.2"
1,"Satu kata... PAYAH harusnya diperbaiki dulu ini aplikasi, rampungkan. Ini menyulitkan saja, dan banyak yg jadikan bisnis malahan","2024-05-07T09:53:51.585Z","4.3.2"
3,"Lama bgt nunggu ferisvikasi kan .udh 6 jam ga selesaiel selesai .mohon di bantu kak","2024-05-07T09:08:29.254Z","4.3.2"
1,"Iki aplikasi opo ..to....ra iso gunakan...babarblas....ra ceto..aplikasi ne...","2024-05-07T06:08:27.847Z","4.3.2"
5,"Puas","2024-05-07T05:15:39.340Z",
5,"Susah utk daftar nya","2024-05-07T04:50:34.210Z","4.3.2"
1,"Masih banyak benalu di negeri kita aplikasi ini akan merugikan mereka🤣🤭","2024-05-07T04:36:40.799Z","4.3.2"
4,"Ewww","2024-05-07T04:32:17.180Z","4.2.3"
5,"Membantu dalam pembelian bbm bersubsidi dan tepat sasaran","2024-05-07T03:46:15.546Z",
1,"Fungsi aplikasinya buat apa min , Kalau pertalite jadinya dihapus ?","2024-05-07T02:42:37.341Z","3.7.7"
1,"Setiap mau pembayaran di SPBU COCO Puri Kembangan 31.116.02 Pertamina gagal terus","2024-05-07T01:54:37.747Z","4.3.1"
5,"mantap 👍👍👍","2024-05-07T00:37:00.359Z","4.3.2"
5,"😊","2024-05-06T21:44:54.617Z",
1,"Mau daftar terlalu ribet, email, NIK kalo sudah di daftar tapi ada perbaikan tidak bisa lagi daftar padahal itu NIK dan email punya kita sendiri.padahal kita sudah buru ada kepentingan.. Pertamina tolong di tinjau kembali.terima kasih","2024-05-06T16:23:19.181Z","4.3.2"
1,"Aplikasi sampah","2024-05-06T08:48:17.356Z","4.3.2"
1,"Kenapa harus ada aplikasi, menyusahkan banget","2024-05-06T07:35:17.798Z","4.3.2"
1,"Aplikasi macam apa ini, bukannya memudahkan masyarakat kalangan bawah ini malah mempersulit, nunggu verifikasi sangat lama, dan juga kasin buat yang lainnya belum tentu punya smartphone.","2024-05-06T07:32:41.904Z","4.3.2"
5,"bguss","2024-05-06T07:30:07.514Z","4.3.2"
1,"sdh terdaftar tp sll bensin bensinbl blm terdaftar merugikan konsumen pdhl mbl saya kategori bukan mbl mewah","2024-05-06T07:18:10.172Z","4.3.2"
5,"mantap sangat bermanfaat","2024-05-06T05:44:38.618Z","4.3.2"
1,"Aplikasi tolol ga berguna","2024-05-06T04:36:45.483Z",
5,"Memuaskan","2024-05-06T03:52:32.205Z",
5,"Memuaskan","2024-05-06T03:52:19.570Z","4.3.2"
5,"Sangat membantu","2024-05-06T03:09:55.408Z","4.3.2"
5,"nicee","2024-05-06T03:08:44.559Z","4.3.2"
5,"Nice","2024-05-06T03:00:19.645Z","4.3.2"
5,"Aplikasinya bagus","2024-05-06T02:53:37.590Z","4.3.2"
5,"Mantapp","2024-05-06T02:44:09.116Z","4.3.2"
1,"Ngisi plat diketik, tp transaksi g pernah masuk, sbnrnya nglink g sih nih apk sama mesin spbu.... Wkwkwkw","2024-05-06T02:41:51.985Z","4.3.2"
2,"alat pembayaran masih blm terintegrasi. saya coba bayar menggunakan debit. masih blm bisa. bila tidak bisa tolong off. jangan PHP pelanggan dan buat repot di SPBU","2024-05-05T23:44:42.897Z","4.3.2"
5,"Mempermudah informasi pengisian bahan bakar kendaraan,serta memudahkan pembayaran 👍👍","2024-05-05T23:43:21.544Z","4.3.2"
2,"ko bisa ya data diri saya sudah terdaftar dan dipake orang lain, setelah saya cek ktp nya tidak sama dengan ktp saya (ada org yg upload ktp asal)","2024-05-05T15:21:25.848Z",
1,"Bener sekali, aplikasi ini bukan memudahkan tp menyulitkan. Sudah lebih dr 1 bulan ngga bs beli BBM gara2 aplikasi yg ngga fungsi. PERTAMINA TOLONG INI DIPERHATIKAN... BUKAN SAYA SAJA YG TERKENDALA, TAPI BANYAK KONSUMEN YANG TERDAMPAK.","2024-05-05T14:17:10.978Z",
1,"Voucher 100rb hilang, sudah telpon sampai pulsa habis lebih dr 100rb, berbulan2 jg gak balik. Aplikasi sampah","2024-05-05T14:09:42.494Z","4.3.2"
1,"Udah pernah login, udah daftar dan terverifikasi, mau login lg cek kode barcode kirim kode otp udah di coba puluhan kali kode otpnya ga masuk2 ke email Cacat bgt aplikasinya ga jelas","2024-05-05T11:16:28.613Z","4.3.2"
1,"Woi ini maksudnya apa, ngisi solar di batesin 3 kali sehari, padahal blm ngisi solar pisan seharian, malah di sangka udh ngisi 3 kali, tolong lah di pertegas kan lgi systemnya, aneh","2024-05-05T09:06:16.352Z",
5,"Sangat membantu","2024-05-05T06:08:01.502Z","4.3.2"
5,"Ok banget","2024-05-05T05:25:25.434Z","4.3.2"
3,"aplikasi bagus, sangat membantu. Saya tinggal di semarang, banyak pom bensin yg belum bersedia menggunakan my pertamina dg alasan ""lg error lah, ditanya jawabannya ga tau lah, belum bisa lah"" hah, pdhal mereka memasang spanduk my pertamina..... Kenapa????","2024-05-05T05:00:51.920Z",
1,"aplikasi di benerin coba 5 hp aja tetap bug disuruh hubungkan mulu mending nnton yotube daripada buka aplikasi gaje","2024-05-05T04:53:10.172Z","4.3.2"
3,"tolong diperbarui mslh subsidi tepat sasaran soalnya masih byk kendaraan mobil CC tinggi antri pertalite, tolong diberi batasan CC buat antre pertalite biar tepar sasaran","2024-05-05T04:19:38.432Z","4.3.2"
5,"Baru pertama kali. Belum dicoba","2024-05-05T03:48:42.693Z","4.3.2"
1,"Wajib pakai QR tapi aplikasinya 1001 bug","2024-05-05T01:30:52.626Z",
1,"Tdk bisa logi lagi","2024-05-04T17:41:23.661Z","4.3.1"
1,"Aplikasi eror tdk bisa menghubungkan ke gopay","2024-05-04T15:50:55.336Z","4.3.2"
1,"gak jelas.. efisien kagak ruwet pasti","2024-05-04T14:07:18.543Z",
5,"Sangat bagus","2024-05-04T13:18:17.202Z","4.3.2"
1,"Aplikasi busuk daftar aja susah lebih enak buat akun google daripada pakai aplikasi ini","2024-05-04T13:14:28.389Z","4.3.2"
1,"Saya SDH terdaftar pas mau download barcode muncul notif nik atau nomor plat kendaraan anda tida di temukan terus gimana saya mau isi di pom kalo gak ada barcode malah tambah ribet sekarang😭😭😭","2024-05-04T11:45:32.860Z","4.3.2"
1,"saya sudah terverifikasi tapi gak bisa nge download QR kode nya","2024-05-04T11:36:07.134Z","4.3.2"
3,"Top up nya untuk bca gak ada","2024-05-04T09:45:02.758Z","4.3.1"
1,"Tipikal aplikasi BUMN kita.. Ga jelas..","2024-05-04T09:38:27.726Z","4.3.2"
5,"🙏🙏🙏🙏","2024-05-04T09:24:31.583Z","4.3.2"
1,"Aplikasi paling jelek masak BUMN kualitas kayak abal2 mau daftar ga bisa,,masak kayak gini aplikasi BUMN","2024-05-04T05:48:34.738Z","4.3.2"
